Date,Close,Volatility,Volume,Libor,US 10y Treasury yield,CBOE VIX,WTI Crude Oil Futures,Gold
2022-11-21,18159.95,11.39,213794592,4.69186,3.8269,1827.05347,6514.8,1738.05
2022-11-18,18307.65,11.01,198794848,4.66486,3.8288,1886.49951,6534.21,1750.68
2022-11-17,18343.9,10.95,200512912,4.67543,3.7657,1953.54944,6664.76,1760.44
2022-11-16,18409.65,12.42,219268992,4.67429,3.6899,1963.72095,6971.17,1773.87
2022-11-15,18403.4,13.2,250926384,4.64971,3.7696,1985.88721,7033.96,1778.94
2022-11-14,18329.15,13.83,301401952,4.64386,3.8536,1920.99097,6951.35,1771.4
2022-11-11,18349.7,13.87,378469056,4.60614,#N/A,1813.32166,7163.1,1771.24
2022-11-10,18028.2,13.51,256451792,4.64971,3.8125,1901.7605,6988.75,1755.45
2022-11-09,18157,13.24,307155136,4.63,4.0923,2120.80396,6976.95,1706.74
2022-11-07,18202.8,14.52,314758400,4.55729,4.2135,1993.28369,7513.9,1675.63
2022-11-04,18117.15,15.56,267941520,4.55029,4.1584,2014.31519,7598.6,1681.87
2022-11-03,18052.7,15.64,212968288,4.53157,4.1469,2093.62549,7296.24,1629.49
2022-11-02,18082.85,15.73,270878016,4.50843,4.1005,2139.12891,7444.76,1635.24
2022-11-01,18145.4,15.98,349924800,4.45971,4.0419,2132.18994,7300.33,1647.98
2022-10-31,18012.2,15.92,227174544,4.46029,4.0478,2143.6792,7167.41,1633.56
2022-10-28,17786.8,16.63,250030112,4.43957,4.0123,2120.33228,7237.95,1644.86
2022-10-27,17736.95,16.72,324649088,4.41471,3.9187,2256.02393,7337.23,1663.31
2022-10-25,17656.35,16.67,251358208,4.358,4.1021,2346.81152,7035.49,1653.17
2022-10-24,17730.75,16.82,45029476,4.32686,4.2424,2473.37109,7008.3,1649.78
2022-10-21,17576.3,16.69,277702688,4.35843,4.2167,2453.26978,7027.64,1657.69
2022-10-20,17563.95,16.7,249604832,4.32457,4.2283,2480.35327,7113.44,1628.02
2022-10-19,17512.25,16.96,210480864,4.27757,4.1335,2553.64917,7102.23,1629.44
2022-10-18,17486.95,16.95,239493632,4.24257,4.0066,2509.45166,6814.19,1652.22
2022-10-17,17311.8,16.65,212223424,4.22657,4.0104,2576.06982,7017.88,1650.09
2022-10-14,17185.7,16.64,226997136,4.19371,4.0184,2638.03174,7053.15,1644.47
2022-10-13,17014.35,16.31,266438672,4.07914,3.9435,2626.63696,7328.1,1666.37
2022-10-12,17123.6,16.58,256037328,4.01086,3.8962,2761.40771,7178.67,1673.19
2022-10-11,16983.55,18.21,282617984,3.94071,3.947,2764.24805,7344.2,1666.34
2022-10-10,17241,18.15,234005504,3.91914,#N/A,2674.59399,7511.12,1668.61
2022-10-07,17314.65,18.13,216273136,3.90871,3.8814,2590.91626,7653.78,1694.82
2022-10-06,17331.8,18.17,268239328,3.82571,3.8236,2509.47656,7272.71,1712.53
2022-10-04,17274.3,18.15,231601632,3.74071,3.6329,2367.63525,7046.71,1726.13
